ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
556,싫다,ADJ,to be unpleasant,"嫌いだ, いやだ",no querer,tidak menyenangkan,아침에 일어나는 게 정말 싫어.,I really hate getting up early in the morning.,朝に起きるのが本当にいやだ。,Realmente odio levantarme temprano por la mañana.,Saya sangat benci bangun pagi-pagi.,
557,싫어하다,VERB,"to hate, dislike","嫌がる, 嫌いだ","no querer, odiar","membenci, tidak menyukai",너 왜 재즈를 싫어하는 거야?,Why do you hate jazz?,お前どうしてジャズが嫌いなのか?,¿Por qué odias el jazz?,Mengapa anda tidak menyukai jazz,
558,심하다,ADJ,"to be heavy, to be severe",ひどい,ser severo,"berat, keras","그 차가 나를 쳤을 때, 나는 심한 충격을 받았다.","When the car hit me, I went into severe shock.","その車が私を跳ねた時, 私はひどい衝撃を受けた。","Cuando el coche me golpeó, tuve una herida severa.","Ketika mobil itu menabrak saya, Saya mengalami syok berat. ",
559,싸다,ADJ,to be cheap,安い,barato,murah,인터넷에서 사는 게 가게에서 사는 것보다 더 싸.,Buying online is cheaper than buying from shops.,インターネットで買うのが店で買うよりもっと安い。,Comprar via Internet es mas barato que comprarlo en las tiendas.,Membeli lewat internet lebih murah daripada di toko.,
560,싸우다,VERB,"to fight, to argue, to quarrel","争う, けんかする","pelear, discuti","berkelahi, berdebat, bertengkar",뭐 때문에 싸우는 거야?,Why are you quarreling?,どうしてけんかしてるの?,¿Por qué estás peleando?,Mengapa kalian bertengkar?,
561,쌀,NOUN,raw rice,米,arroz,beras,그 사람은 쌀과 보리도 구별 못 한다.,He can't tell rice from barley.,その人は米と麦も区別できない。,Él no puede distinguir entre el arroz de la cebada.,Dia tidak dapat memberitahu beras berasal dari gandum-ganduman.,
562,쓰다 ,VERB,to write,書く,escribir,menulis,"그는 읽고 쓰지 못하지만, 큰 회사의 사장이다.","Although he can't read or write, he is the president of a big company.","彼は読み書きできないが, 大きい会社の社長だ。","Aunque no pueda leer o escribir, él es el presidente de una compañía grande.","Meskipun dia tidak dapat membaca dan menulis, dia adalah presiden sebuah perusahaan besar.",
563,쓰다 ,VERB,to wear,"かぶる, かける","usar (ropa), vestir",memakai,개가 모자를 쓰고 있다니 웃기지 않니?,Isn't it funny that the dog is wearing a hat?,犬が帽子をかぶっているなんて面白くない?,¿No es divertido que el perro esté usando un sombrero?,Tidakkah lucu kalau anjing memakai topi?,
564,쓰다 ,VERB,to use,使う,"usar, utilizar",menggunakan,어떤 샴푸 쓰세요?,What brand of shampoo do you use?,どんなシャンプー使ってますか?,¿Qué marca de champú utilizas?,Sampo merk apa yang anda gunakan?,
565,쓰레기,NOUN,"waste, garbage",ごみ,basura,"limbah, sampah",저 쓰레기 좀 버려줄래?,Could you throw out the garbage?,あのごみちょっと捨ててくれる?,¿Podrías sacar la basura?,Dapatkah anda membuang sampahnya?,
566,씨,NOUN,"Mr., Ms.",さん,"señor, señorita","Bapak, Ibu",혜안씨 좀 바꿔주세요.,Can I speak to Ms. Hyean?,へアンさんにちょっと換わってください。,¿Puedo hablar con el señor Hyean?,Dapatkah saya bicara dengan Ibu.Hyean?,
567,씻다,VERB,to wash,洗う,"lavar, limpiar",mencuci,나는 집에 오자마자 손을 씻었다.,"As soon as I came home, I washed my hands.",私は家へ来るやいなや手を洗った。,"Tan pronto como viniera a casa, me lavé las manos.","Segera setelah saya tiba dirumah, Saya mencuci tangan. ",
568,아,INT,"ah, oh",あ,"ah, oh","ah, oh","아, 이런!","Ah, no!","あ, こんなことって!","¡Ah, no!","Ah, tidak!",
569,아기,NOUN,baby,赤んぼう,bebé,bayi,이번 달에 아기를 낳을 예정이에요.,I'm expecting a baby this month.,今月中に赤んぼうを生む予定です。,Estoy contando con un bebé para este mes.,Saya menginginkan seorang bayi bulan ini.,
570,아내,NOUN,wife,妻,"esposa, mujer",istri,내 아내는 내가 꿈꾸던 바로 그 사람이다.,My wife is the one I've dreamed of all my life.,私の妻は私が夢見たまさにその人だ。,Mi esposa es la que he soñado toda mi vida.,Istri saya adalah orang yang saya impikan sepanjang hidup saya.,
571,아니,INT,no,いや,no,tidak,"좀 더 줄까? - 아니, 배불러.","Do you want some more? - No, I'm full.","もうちょっと食べる? - いや, 満腹なの。","¿Deseas más? - No, gracias. Estoy lleno.","Anda mau tambah? – Tidak, saya sudah kenyang. ",
572,아니다,ADJ,to be not,ない,no ser,bukan,빌리 진은 내 애인이 아니에요.,Billie Jean is not my lover.,ビリージンは私の恋人ではありません。,Billie Jean no es mi amante.,Billie Jean bukan pacar saya.,
573,아니요,INT,no,いいえ,no,tidak,"아니요, 그 애는 내 아들이 아니에요.","No, the kid is not my son.","いいえ, その子は私の息子ではありません。","No, el niño no es mi hijo.","Tidak, anak itu bukan anak saya.",
574,아들,NOUN,son ,息子,hijo,anak laki-laki,나 지금 가봐야 해. 내 아들이 집에 혼자 있어.,I have to go now. My son is home alone.,私今行かなきゃ。 私の息子が家に一人でいるの。,Me tengo que ir ahora. Mi hijo está en casa solo.,Saya harus pulang sekarang. Anak laki-laki saya di rumah sendirian. ,
575,아래,NOUN,"bottom, the lower part",下,"abajo, siguiente","bawah, dibawah",아래에 서명해 주세요.,Please sign your name below.,下に署名してください。,"Por favor, firme abajo.",Tolong tanda tangani nama anda dibawah sini.,
576,아름답다,ADJ,to be beautiful,美しい,hermoso bello,cantik,당신은 정말 아름다워요.,You are so beautiful. ,あなたは本当に美しいです。,Eres tan hermoso.,Anda sangat cantik,
577,아마,ADV,"probably, likely",多分,"probablemente, seguramente",mungkin,그 사람 아마 늦을 거야. 새벽 네 시까지 깨어있었거든.,He is probably late. He was up until 4 a.m.,その人多分遅れるだろう。朝の４時まで起きてたから。,"Probablemente llegará tarde, estuvo madrugando hasta las cuatro.",Dia mungkin terlambat. Dia bergadang sampai jam 4(empat) pagi.,
578,아무,"PRONOUN, ADV","anyone, anybody; any",誰; 何の,"cualquier, quiensea","Apa saja, siapapun, siapa saja",대통령은 그 문제에 대해 아무 말도 하지 않았다.,The president didn’t say anything about the issue.,大統領はその問題に対して何の言葉も言わなかった。,El presidente no mencionó nada sobre ese tema. ,Presiden tidak berkata apapun tentang isu itu.,
579,아무리,ADV,no matter how,いくら,por más que...,Tak peduli bagaimana,너는 아무리 먹어도 살이 안 찌는구나.,"No matter how much you eat, you never gain a pound.",お前はいくら食べても太らないんだな。,"Por más que tú comas, no engordas.","Tidak peduli bagaimana banyak anda makan, berat badan anda tidak pernah bertambah. pernah ",
580,아버지,NOUN,father,お父さん,padre,ayah,아버지는 무슨 일을 하시니?,What does your father do for a living?,お父さんは何のお仕事をなさってるの?,¿Qué profesión tiene tu padre?,Apa pekerjaan ayah anda?,
581,아빠,NOUN,"dad, daddy",パパ,papá,papa,"아빠, 저 이 카메라 사 주세요.","Dad, please buy me this camera.","パパ, 僕にこのカメラ買ってください。","Papá, por favor, cómprame  esta cámara fotográfica.","Papa, tolong belikan saya kamera ini.",
582,아이,NOUN,"child, kid",子供,"niño, nene",anak,저희는 아이가 하나 있습니다.,We only have one child.,私達には子供が一人います。,Tenemos solamente un hijo.,Kami hanya memiliki seorang anak.,
583,아이스크림,NOUN,ice cream,アイスクリーム,helado,es krim,이 바닐라 아이스크림은 내가 가장 좋아하는 맛이다.,Vanilla is my favorite ice cream flavor.,このバニラアイスクリームは私が一番好きな味だ。,Mi sabor preferido de helado es el vainilla.,Vanila adalah es krim kesukaan saya.,
584,아저씨,NOUN,middle-aged man; mister,おじさん,persona de mediana edad,"pria setengah -baya; bapak,tuan","그는 17살이지만, 아저씨처럼 보인다.","Even though he is seventeen, he looks like a middle-aged man. ","彼は 17才だが, 中年のおじさんのように見える。",Tiene sólo diecisiete pero parece un caballero.,"Meskipun dia berumur 17(tujuh belas) tahun, dia seperti pria setengah-baya.",
585,아주,ADV,"very, so",とても,"muy, mucho",sangat,아주 쉬워.,It's very easy.,とても易しい。,Es muy fácil.,Sangat mudah.,
586,아주머니,NOUN,middle-aged woman; madam,おばさん,señora,wanita setengah-baya; ibu,"아주머니, 여기가 어디예요?","Madam, where am I?","おばさん, ここはどこですか?","Señora, ¿En dónde estoy yo?","Ibu, dimana saya? ",
587,아직,ADV,"still, yet",まだ,todavía,masih,아직 괜찮은 것 같은데. ,These still seem to be okay.,まだいいと思うが。 ,Éstos todavía parecen ser aceptables.,Sepertinya masih tidak apa-apa. ,
588,아침,NOUN,morning; breakfast,朝; 朝ご飯,"mañana, desayuno",pagi hari; sarapan,나는 보통 일요일 아침에는 아침도 안 먹고 늦게까지 잔다.,I usually sleep in without having breakfast on Sunday mornings.,私は普通日曜日の朝には朝ご飯も食べずに遅くまで寝る。,Generalmente los domingos no desayuno.,Saya biasanya tertidur tanpa makan sarapan pada minggu pagi.,
589,아파트,NOUN,apartment,アパート,"apartamento, departamento",apartemen,어떤 아파트를 찾고 계세요?,What apartment are you looking for?,どんなアパートを探していらっしゃいますか?,¿Qué apartamento estás buscando?,Apartemen macam apa yang anda inginkan?,
590,아프다,ADJ,"to be painful, to be sore",痛い,doloroso,menyakitkan. terluka,무릎이 너무 아파서 걸을 수가 없어.,My knees are so painful that I can't walk.,膝がとても痛くて歩くことができない。,Me duelen tanto las rodillas que no puedo caminar.,Kedua lutut saya sangat sakit sampai saya tidak dapat berdiri.,
591,안 ,NOUN,inside; within,中; 以内,en menos de,dalam; di dalam,15분 안에 도착할 거예요.,I will be there within 15 minutes.,15分以内に到着するんです。,Estaré allí en menos de 15 minutos.,Saya akan disana dalam 15(lima belas) menit.,
592,안 ,ADV,not,(し)ない,no,tidak,넌 왜 안 갔어?,Why didn't you go?,お前はどうして行かなかったの?,¿Por qué no fuiste?,Mengapa anda tidak pergi?,
593,안경,NOUN,glasses,めがね,"cristales, anteojos, gafas",kaca mata,안경 쓰고 있는 저 여자애 말이야?,You mean the girl who wears glasses?,めがねをかけているあの女の子?,¿Sabes quién es esa muchacha con cristales?,Yang anda maksud gadis yang memakai kacamata?,
594,안녕 | 안녕하다,NOUN | ADJ,peace | to be fine,こんにちは (さよなら) | 元気だ,hola,damai; baik-baik saja ,안녕하세요? ,Hello? ,こんにちは。,¿Hola?,Halo?,
595,안녕히,ADV,peacefully,無事に,"adiós, hasta luego",dengan damai ,안녕히 가세요.,Take care.,さようなら。,Adiós.,Hati-hati.,
596,안다,VERB,"to hug, to hold",抱く,abrazar,memeluk,안아 줘.,Give me a big hug.,抱いて。,Abrázame,Peluk saya erat-erat.,
597,안되다,ADJ,sorry,残念だ,lástima,meminta maaf,그것 참 안됐네요.,I'm so sorry for that.,それ本当に残念ですね。,Es una lástima.,Saya sangat menyesal.,
598,앉다,VERB,to sit ,座る,sentar,duduk,그들은 차에 나란히 앉았다.,They sat side by side in the car.,彼らは車に並んで座った。,Se sentaron uno al lado del otro en el coche.,Mereka duduk bersebelahan dalam mobil.,
599,않다,VERB,to be not,ない,no (ser),tidak,좋지도 않지만 나쁘지도 않아.,"Not good, but not bad.",良くもないが悪くもない。,"No es malo, pero tampoco bueno.","Tidak bagus, tidak jelek.",
600,알다,VERB,to know,"分かる, 知る",saber,mengetahui,내 말 무슨 뜻인지 알겠어?,Do you know what I mean?,私の言ってる事の意味分かる?,¿Sabes a lo que me refiero?,Apakah anda mengerti yang saya maksud?,
601,알려지다,VERB,to become known,知られる,(ser) sabido,terkenal ,그 이야기는 인터넷을 통해 모두에게 알려졌다.,The story became known to everyone through the internet.,その話はインターネットを通じて皆に知らされた。,Ésta historia es sabido por todos via internet. ,Cerita itu menjadi terkenal lewat internet.,
602,알리다,VERB,"to let sb know, to inform",知らせる,dejar saber. Avisar,"memberitahu seseorang, memberitahu",그거 끝나면 나한테 알려 줘.,Let me know when you finish it.,それ終わったら私に知らせてくれ。,Avísame cuándo termines.,Beritahu saya kalau kamu sudah selesai.,
603,앞,NOUN,front,前,"en frente, delante",depan,"차례가 되면, 앞으로 나오세요.",Please come to the front when it's your turn.,"順番になれば, 前に出てください。",Venga al frente cuando sea tu turno.,Tolong maju kedepan ketika giliran anda.,
604,야구,NOUN,baseball,野球,béisbol ,baseball,박찬호는 내가 제일 좋아하는 야구 선수야.,Chanho Park is my favorite baseball player.,パク・チャンホは私が一番好きな野球選手なの。,Park Chanho es mi jugador preferido de béisbol.,Chanho Park adalah pemain baseball favorit saya.,
605,약,NOUN,"medicine, drug",薬,"medicina, remedio",obat,다쳤어? 이 약 먹어.,Did you get hurt? Take this medicine.,けがをしたの? この薬飲んで。,¿Estás lastimado? Toma esta medicina.,Apakah anda terluka? Minum obat ini.,
606,약간,"NOUN, ADV","a little, a bit ",少し,un poco,"sedikit, agak","오늘 약간 춥다, 그지?","It's a little chilly today, isn't it? ",今日少し寒いね?,"Hoy hace un poco de frío, ¿no lo crees?","Hari ini agak dingin, bukan?",
607,약국,NOUN,"pharmacy, drugstore","薬局, 薬屋 ",farmacia,apotek,2층에 약국이 있습니다.,There is a pharmacy on the second floor.,2階に薬局があります。,Hay una farmacia en el segundo piso.,Apotek ada di lantai 2(dua).,
608,약속 | 약속하다,NOUN | VERB,promise | to promise,約束 | 約束する,promesa; prometer,janji; berjanji,"이번에 약속 어기면, 너 다시는 안 볼 거야.","If you break your promise this time, I'll never see you again.","今度約束破れば, お前と二度と会わないから。","Si rompes tu promesa este vez, nunca te veré otra vez.",Jika anda mengingkari janji lagi saya tidak akan pernah bertemu anda lagi.,
609,양말,NOUN,socks,靴下,"soquete, media",kaus kaki,그러니까 자꾸 양말에 구멍이 나지. ,That's why your socks keep getting holes.,だからしょっちゅう靴下に穴があくんだ。 ,Es por eso que surgen agujeros en tus calzetines.,Itulah mengapa kaus kaki anda selalu berlubang.,
610,양복,NOUN,suit,洋服,traje,setelan,이 넥타이는 니 양복이랑 잘 어울릴 거야.,I guess this tie will go with your suit.,このネクタイはお前の洋服とよく似合うだろう。,Esta corbata ira muy bien con tu traje.,Saya rasa dasiini akan cocok dengan setelan anda.,
611,어깨,NOUN,shoulder,肩,historia; hablar sobre,"cerita, bicara; bercerita, berbicara",걱정하지 마. 그냥 내 어깨에 기대.,Don't worry. Just lean against my shoulder.,心配するな。 ただ私の肩に寄り掛かれ。,"Perdóneme, he estado hablando solamente sobre mí.","Maaf, saya hanya membicarakan tentang diri saya.",
612,어느,DET,which,どの,hombros,bahu,어느 부분이 제일 아프세요?,Which part hurts the most?,どの部分が一番痛いですか?,"No te preocupes, solo apoyate en mis hombros.",Jangan khawatir. Bersandarlah di bahu saya. ,
613,어디,PRONOUN,where,どこ (に),Cuál,yang mana,어디 살아?,Where do you live? ,どこに住んでぃるの?,¿Qué parte te duele más?,Bagian mana yang paling sakit?,
614,어떠하다,ADJ,to be how,どうだ,Dónde,dimana,요즘 몸은 좀 어때?,How do you feel these days?,このごろ身体の方はどう?,¿Dónde vives?,Dimana anda tinggal?,
615,어떤,DET,"what; some, certain",どんな; ある,cómo,bagaimana,어떤 사람을 좋아하세요?라고 어떤 사람이 물었다.,What kind of person do you like? asked a certain guy.,どんな人が好きですか?とある人が問うた。,¿Cómo te sientes actualmente?,Bagaimana perasaan anda akhir-akhir ini?,
616,어렵다,ADJ,to be difficult,難しい,qué clase,"apa; beberapa, tertentu ",이번 수학 시험은 지난번보다 더 어려웠어.,This math test was more difficult than the last one.,今回の数学試験はこの前よりもっと難しかったの。,“Qué clase de persona le gusta?” preguntó cierto individuo.,“Tipe orang seperti apa yang anda suka?” Tanya seorang pria tertentu. ,
617,어른,NOUN,adult,大人,"difícil, problemático",sulit,도와드릴까요? - 어른 두 명하고 아이 한 명이요.,"May I help you? - Two adults and one child, please.",どうぞ - 大人二人と子供一人です。,Esta prueba de matemáticas fue más difícil que la pasada.,Tes matematika hari ini lebih sulit dari tes yang lalu.,
618,어리다,ADJ,to be young,幼い,"adulto, ",dewasa,제가 나이보다 어려보인다는 소리 많이 들어요.,I've heard many times that I look younger than my age.,私は年より幼く見えるとよく言われます。,"¿Puedo ayudarte? - Dos adultos y un niño, por favor.","Bisa saya Bantu? – Tolong, dua dewasa dan satu anak-anak.",
619,어린이,NOUN,child,子供,ser joven,muda,어린이도 돈을 내야 하나요?,Do children have to pay money?,子供もお金を出さなければならないんですか?,He oído muchas veces que parezco más joven de lo que parezco.,Saya banyak mendengar kalau saya terlihat lebih muda dari umur saya.,
620,어머니,NOUN,mother,お母さん,"niño, nene",anak,우리 어머니는 삼 년 동안 아프셨다.,My mother has been sick for three years.,うちの母は３年間具合が良くなかった。,¿Los niños tienen que pagar dinero?,Apakah anak-anak harus membayar?,
621,어서,ADV,quickly,はやく,"madre, mamá ",Ibu,나는 그에게 그 일을 어서 끝내라고 말했다.,I told him to get the work done quickly.,私は彼にその事をはやく終わらせなさいと言った。,Mi madre ha estado enferma por tres años.,Ibu saya telah sakit selama 3(tiga) tahun.,
622,어울리다,VERB,"to get along; to match, to suit",似合う,rápido ,dengan cepat,그 옷 너랑 잘 어울리네.,The dress suits you well.,その服お前とよく似合うね。,Le dije que termine rápidamente con el trabajo.,Saya sudah mengatakan padanya untuk menyelesaikan pekerjaan itu secepatnya.,
623,어제,"NOUN, ADV",yesterday,昨日,"quedar bien, vestir bien","bergaul dengan baik; cocok, sesuai ","어제 너한테 열 번도 넘게 전화했는데, 안 받더라.","I called you yesterday more than ten times, but you didn't answer.","昨日お前に十回以上電話したが, 取らなかった。",Esa ropa te queda bien.,Gaun itu cocok untukmu.,
624,언니,NOUN,girl's older sister ,お姉さん,ayer,kemarin,언니가 있었으면 좋았을 텐데.,I wish I had an older sister.,お姉さんがいたら良かったでしょうに。,"Te llamé ayer más de diez veces, pero no contestaste.","Saya menelepon anda kemarin lebih dari 10(sepuluh) kali, tetapi anda tidak menjawabnya.",
625,언제,"PRONOUN, ADV",when ,いつ,hermana mayor,kakak perempuan,언제 시간 되세요?,When are you free?,いつ時間ありますか?,Me hubiese gustado tener un hermana mayor.,Saya harap saya punya kakak perempuan.,
626,언제나,ADV,"always, all the time",いつも,cuando,kapan,다른 사람과 같이 산다는 건 언제나 힘든 일이야.,It's always hard to live with someone.,他人と一緒に住むということはいつも大変な事なの。,¿Cuándo estás libre?,Kapan anda punya waktu luang?,
627,얻다,VERB,"to gain, to get",得る,siemrpe,selalu,언제나 네가 원하는 것을 얻을 수는 없다.,You can't always get what you want.,いつも君が願うことを得ることはできない。,Es siempre duro vivir con otra persona.,Selalu sulit untuk tinggal dengan seseorang.,
628,얼굴,NOUN,face,顔,"conseguir, obtener","memperoleh, mendapat ",왜 얼굴이 갑자기 빨개지니?,Why is your face suddenly turning red?,どうして顔が急に赤くなるの?,No puedes conseguir siempre lo que deseas.,Anda tidak selalu mendapatkan apa yang anda inginkan.,
629,얼른,ADV,"promptly, right away","すぐ, 早く, さっさと","cara, rostro",wajah,얼른 대답해요.,Answer me right away.,さっさと答えなさい。,¿Por qué se te pone la cara roja tan repentinamente ?,Mengapa wajah anda tiba-tiba menjadi merah?,
630,얼마,NOUN,how much,いくら,"enseguida, rápido, ya",cepat; sekarang juga,이거 얼마예요?,How much is this?,これいくらですか?,Contéstame enseguida.,Jawab saya sekarang juga.,
631,얼마나,ADV,how,どのくらい,cuánto,berapa,한국에 온 지 얼마나 됐어요?,How long have you been in Korea?,韓国へ来てからどのくらいたちますか?,¿Cuánto es ésto?,Berapa harganya?,
632,엄마,NOUN,mom,ママ,"cómo, cuánto",berapa lama,시내에서 엄마랑 점심 먹을 거야.,I'm going to meet my mom for lunch downtown.,市内でママとお昼食べるつもりだ。,¿Cuánto tiempo has estado en Corea?,Berapa lama anda sudah tinggal di Korea?,
633,없다,ADJ,there is no; do not have,"ない, いない","madre, mamá ",mama,요즘에는 핸드폰 없는 사람이 없다.,Nowadays there is no one who does not have a cell phone.,このごろには携帯電話のない人がいない。,Voy a comer afuera con mi madre.,Saya akan bertemu mama saya untuk makan siang di kota.,
634,없어지다,VERB,"to disappear, to be gone","消える, なくなる","no (haber), no (tener)",tidak ada; tidak mempunyai,가방이 없어졌어!,My bag is gone!,かばんが消えたの!,Estos días no hay persona que no tenga celular.                                                                                                                                ,Sekarang ini tidak ada seorangpun yang tidak mempunyai telfon seluler.,
635,없이,ADV,without,なしに,desaparecer,"menghilang, hilang",나는 물 없이는 살아도 음악 없이는 못 살아.,"I can live without water, but I can't live without music.",私は水なしには暮しても音楽なしには暮す事ができなく。,¡Desapareció mi bolso!,Tas saya hilang!,
636,에어컨,NOUN,air conditioner,エアコン,sin,tanpa,에어컨 좀 켜도 될까요? ,Would you mind if I turned on the air conditioner?,エアコンちょっとつけても良いでしょうか? ,"Puedo vivir sin agua, pero no puedo vivir sin música.","Saya dapat hidup tanpa air, tetapi tidak dapat hidup tanpa musik.",
637,여권,NOUN,passport,パスポート,acondicionador,alat pendingin,여권 좀 보여주시겠어요?,Can I see your passport?,パスポートを見せてくれますか?,¿Puedo prender el acondicionador de aire?,Apakah anda keberatan jika saya menyalakan alat pendingin?,
638,여기,PRONOUN,here,ここ,pasaporte,paspor,나 여기 서점에 있어. ,"I'm over here, in the bookstore.",私ここの書店にいる。 ,¿Puedo ver tu pasaporte?,Dapatkah saya lihat paspor anda?,
639,여동생,NOUN,younger sister,妹さん,aquí ,disini,니 여동생은 몇 살이니? ,How old is your younger sister?,君の妹さんは何歳なの? ,"Estoy aquí, en la librería.","Saya disini, di toko buku",
640,여러,DET,"many, several",多くの,hermana menor,adik perempuan,여러 나라를 여행하고 싶어. ,I'd like to travel to many countries.,多くの国を旅行したい。 ,¿Cuántos años tiene tu hermana menor?,Berapa tahun umur adik perempuanmu?,
641,여러분,PRONOUN,"all of you, everyone (honorific of 너희)",皆さん,mucho,"banyak, beberapa","자, 여러분, 시작해 볼까요.","Ok, everyone, let's get down to business.","さあ, 皆さん, 始めて見ましょうか。",Quisiera viajar a muchos países.,Saya ingin bepergian ke banyak Negara,
642,여름,NOUN,summer,夏,ustedes,"semuanya, setiap orang (sebutan penghormatan untuk 너희)",나는 여름이 좋아. 여름에는 수영을 할 수 있으니까.,I love summer because I can go swimming.,私は夏が好き。 夏には水泳ができるから。,"Bueno, señores, ¿vamos a comenzar?","Ok, para hadirin, marilah kita langsung pada topik.",
643,여보세요,INT,hello,もしもし,verano,musim panas,여보세요? 혜안이 있어요?,Hello? Can I speak to Hyean?,もしもし? へアンいますか?,Amo el verano porque puedo ir a nadar.,Saya suka musim panas karena saya dapat pergi berenang.,
644,여자,NOUN,"woman, lady",女,hola,halo,저기 있는 여자 보여?,Can you see a woman over there?,あそこにいる女見える?,¿Aló? ¿Puedo hablar a Hyean?,Halo? Dapatkah saya bicara denangan Hyean?,
645,여학생,NOUN,female student,女学生,mujer,wanita,우리 반은 남학생보다 여학생이 많아. ,My class has more female students than male students.,うちのクラスは男子学生より女学生が多い。 ,¿Puedes ver a una mujer allá?,Dapatkah anda melihat seorang wanita disana?,
646,여행 | 여행하다,NOUN | VERB,"trip, travel | to travel",旅行 | 旅行する,estudiante mujer,murid perempuan,올 여름에는 부산을 여행하기로 했다.,I decided to travel to Busan this summer.,今年の夏には釜山を旅行する事にした。,Mi clase tiene más estudiantes mujeres que estudiantes varones.,Kelas saya memiliki lebih banyak siswa perempuan daripada siswa laki-laki.,
647,역,NOUN,"station, stop",駅,viaje; viajar,perjalanan; bepergian ,이번 역은 종각역입니다. 내리실 문은 왼쪽입니다 ,This stop is Jonggak. The exit doors are on your left.,今度役は鍾閣駅です。 お出口は左側です ,En estas vacaciones decidimos viajar a Busan.,Saya memutuskan untuk berlibur ke Busan musim panas ini.,
648,역사,NOUN,history,歴史,"estación, parada","stasiun, perhentian",하루 종일 역사 시험 공부를 했어. ,I studied all day long for the history test .,一日中歴史の試験勉強をしたの。 ,Esta parada es Jonggak. Las puertas de la salida están a su izquierda.,Stasiun ini adalah Jonggak. Pintu keluar ada disebelah kiri.,
649,연습 | 연습하다,NOUN | VERB,"practice, exercise | to practice, to exercise",演習 | 練習する,historia,sejarah,이번 주 농구 연습에 안 가서 팀에서 쫓겨났어.,I got kicked off the basketball team because I didn't go to the practice this week.,今週バスケットボールの練習に行かなくてチームから追い出されたの。,Estudié todo el dia para la prueba de la historia.,Saya belajar seharian untuk ujian sejarah.,
650,연필,NOUN,pencil,鉛筆,"ensayo; ensayar,practicar",latihan; berlatih,잠시만. 종이하고 연필 가져올게.,Hold on. I'll get some paper and a pencil.,ちょっと待って。 紙と鉛筆持って来る。,Fui eliminado del equipo de baloncesto porque no asistí al ensayo.,Saya dikeluarkan dari tim basket karena saya tidak mengikuti latihan minggu ini.,
651,열다,VERB,to open,開く,lápiz,pensil,열어 봐. 깜짝 선물이야. ,Open it up. It's a surprise gift.,開けてみろ。 びっくりプレゼントだ。 ,Un momento. Conseguiré un papel y un lápiz.,"Tunggu sebentar, akan saya ambilkan kertas dan pensil.",
652,열리다,VERB,"to open, to be opened","開かれる, 開く",abrir,membuka,문이 저절로 열렸어.,The door opened by itself.,扉が自然に開いた。,"Ábrelo, es una sorpresa.","Bukalah, ini hadiah kejutan.",
653,열쇠,NOUN,key,鍵,"(ser) abierto, abrido","membuka, terbuka",내 자동차 열쇠를 잃어버렸어. ,I've lost my car keys.,私の自動車の鍵を失くしてしまったの。 ,La puerta se abrió por sí mismo.,Pintu itu terbuka dengan sendirinya.,
654,열심히,ADV,"hard, diligently",熱心に,llave,kunci,그 시험을 위해 정말 열심히 공부했어요. ,I studied very hard for the test.,その試験のために本当に熱心に勉強したんです。 ,He perdido mis llaves del coche.,Saya kehilangan kunci mobil saya.,
655,영국,NOUN,the United Kingdom,イギリス,"duro, difícil, esforzoso","keras, giat",일 년 동안 영국에서 살 거예요.,I'll be living in England for a year.,一年の間イギリスで住むつもりです。,Estudié muy duro para la prueba.,Saya belajar sangat keras untuk ujian.,
656,영어,NOUN,English,英語,Inglaterra,Inggris,영어 공부 어떻게 하셨어요? ,How did you study English?,英語の勉強どのようにしましたか? ,Viviré en Inglaterra por un año.,Saya akan tinggal di Inggris selama setahun.,
657,영화,NOUN,"movie, film",映画,inglés,bahasa Inggris,영화는 형편없었지만 경치는 멋있었어!,"The movie was stupid, but the scenery was nice!",映画は不出来だったが景色は素晴しかった!,¿Cómo estudiaste inglés?,Bagaimana anda belajar bahasa Inggris?,
658,옆,NOUN,side; next to,"そば, 横","película, cortometraje",film,그 은행은 저 건물 옆에 있어요.,The bank is next to the building.,その銀行はあの建物の横にあります。,"¡La película era estúpida, pero el paisaje era agradable!","Filmnya jelek, tetapi pemandangannya bagus.",
659,예,NOUN,example,例,al lado,"samping, disamping",예를 들어봐.,Give me an example.,例を挙げてみろ。,El banco está al lado del edificio.,Bank berada disebelah bangunan itu.,
660,예쁘다,ADJ,"to be pretty, to be beautiful",きれいだ,ejemplo,contoh,오늘 아주 예쁜 여자를 봤어.,Today I saw a really pretty girl.,今日とてもきれいな女を見たの。,Dame un ejemplo.,Beri saya  sebuah contoh.,
661,예정,NOUN,schedule,予定,"bonito, bello",cantik,예정대로 도착해?,Are you going to arrive on schedule?,予定通り到着する?,Hoy vi a muchacha realmente bonita.,Hari ini saya melihat gadis yang sangat cantik.,
662,옛날,NOUN,old days,昔,"horario, agenda",jadual,저 노래를 들으니 옛날 생각이 나.,That song reminds me of the old days.,あの歌を聞くと昔を思い出す。,¿Vas a llegar en horario?,Apakah anda akan tiba sesuai jadwal?,
663,오늘,"NOUN, ADV",today,今日,"viejos tiempos, antes",jaman dahulu ,오늘은 쉬는 날이야.,Today is my day off.,今日は休日だ。,Esa canción me recuerda los viejos días.,Lagu itiu mengingatkan saya pada jaman dahulu. ,
